Description, Level 2 models (ms), Level 2 models (ms), Level 2 models (ms), Level 2 models (ms), Level 2 models (ms), Level 2 models (ms), Level 2 models (ms)
Catel.Runtime.Serialization.Binary.BinarySerializer,33,5,18,2,18,8,18,8,20,1,19,3,20,4
Catel.Runtime.Serialization.Json.JsonSerializer,3,1,3,25,3,21,3,27,3,34,3,35,3,45
Catel.Runtime.Serialization.Xml.XmlSerializer,7,92,1,12,1,08,1,22,1,15,1,14,1,12

