Description, 4.5.0 (ms), 4.2.0 (ms), 4.4.0 (ms), 4.3.0 (ms)
Catel.Runtime.Serialization.Binary.BinarySerializer,1,17,1,02,0,934,0,997
Catel.Runtime.Serialization.Json.JsonSerializer,49,1,40,7,36,5,46,5
Catel.Runtime.Serialization.Xml.XmlSerializer,3,46,1,97,3,02,2,7

