Description, 4.2.0 (ms), 4.4.0 (ms), 4.3.0 (ms)
Catel.Runtime.Serialization.Binary.BinarySerializer,2,89,3,2,9
Catel.Runtime.Serialization.Json.JsonSerializer,38,1,40,38,3
Catel.Runtime.Serialization.Xml.XmlSerializer,5,1,7,46,4,64

