Description, 4.2.0 (ms), 4.4.0 (ms), 4.3.0 (ms)
Catel.Runtime.Serialization.Binary.BinarySerializer,2,89,2,38,2,5
Catel.Runtime.Serialization.Json.JsonSerializer,34,7,34,7,34,9
Catel.Runtime.Serialization.Xml.XmlSerializer,4,63,5,92,4,59

