Description, Complex object graph (ms), Complex object graph (ms), Complex object graph (ms), Complex object graph (ms), Complex object graph (ms), Complex object graph (ms), Complex object graph (ms)
Catel.Runtime.Serialization.Binary.BinarySerializer,192,36,1,25,3,23,3,21,24,2,26,9
Catel.Runtime.Serialization.Json.JsonSerializer,127,29,3,22,4,20,8,20,4,20,5,21,7
Catel.Runtime.Serialization.Xml.XmlSerializer,219,1,66,1,65,1,76,1,79,1,81,1,79

