Description, Complex object graph (ms), Complex object graph (ms), Complex object graph (ms), Complex object graph (ms), Complex object graph (ms), Complex object graph (ms), Complex object graph (ms)
Catel.Runtime.Serialization.Binary.BinarySerializer,136,23,5,20,7,19,4,19,5,20,1,19,6
Catel.Runtime.Serialization.Json.JsonSerializer,128,17,17,1,17,8,17,6,17,9,17,6
Catel.Runtime.Serialization.Xml.XmlSerializer,181,1,51,1,58,1,51,1,62,1,55,1,58

