Description, Complex object graph (ms), Complex object graph (ms), Complex object graph (ms), Complex object graph (ms), Complex object graph (ms), Complex object graph (ms), Complex object graph (ms)
Catel.Runtime.Serialization.Binary.BinarySerializer,119,21,17,3,18,9,19,8,19,8,19,4
Catel.Runtime.Serialization.Json.JsonSerializer,121,15,8,16,4,16,4,16,8,17,6,17
Catel.Runtime.Serialization.Xml.XmlSerializer,204,1,12,1,18,1,23,1,2,1,23,1,24

