Description, Level 1 models (ms), Level 1 models (ms), Level 1 models (ms), Level 1 models (ms), Level 1 models (ms), Level 1 models (ms), Level 1 models (ms)
Catel.Runtime.Serialization.Binary.BinarySerializer,26,2,17,8,18,4,19,8,18,4,18,9,18,9
Catel.Runtime.Serialization.Json.JsonSerializer,1,12,1,03,1,08,1,09,1,06,1,09,1,1
Catel.Runtime.Serialization.Xml.XmlSerializer,0,766,0,388,0,381,0,39,0,41,0,409,0,407

